Ano Fato,Ano,Tipo Particip,Idade Participante,Sexo,Genero,Estado Civil,Instrucao,Cor Cadastro,Cor Autodeclarada,Grupo Fato,Desc Fato,Tipo Fato,Med Protetiva,Lat,Lng,Bairro,Municipio,Qtde Vit Domest Sexoougenero,Nro Int Ocor
2018,2018,Vítima,23.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,,,ALZIRA ROSA,PORTO ALEGRE,1,
2018,2018,Vítima,65.0,Feminino,,Casado(a),Ensino fundamental,Mulato,Mulato,CRIMES,APROPRIACAO INDEB BEM DE IDOSO,Consumado,Não solicitada,-30.0846171,-51.1921702,AZENHA-GLORIA-BVELHO,PORTO ALEGRE,1,
2018,2018,Vítima,79.0,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,CRIMES,CALUNIA,Consumado,Solicitada,-30.2137033,-51.1731242,ARADO VELHO/B NOVO,PORTO ALEGRE,1,
2018,2018,Vítima,57.0,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,CRIMES,ESTELIONATO,Consumado,Não solicitada,-30.0308797,-51.2350911,CENTRO,PORTO ALEGRE,1,
2018,2018,Vítima,70.0,Feminino,,Viúvo(a),Ensino fundamental,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,14.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Não solicitada,-30.0473332,-51.2295963,P BELAS/AZENHA,PORTO ALEGRE,1,
2018,2018,Vítima,42.0,Feminino,,Amigado(a),Ensino médio,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.0947765,-51.24380859999999,CRISTAL-CAMAQUA,PORTO ALEGRE,1,
2018,2018,Vítima,33.0,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,-30.1370162,-51.2112855,A MORROS,PORTO ALEGRE,1,
2018,2018,Vítima,34.0,Feminino,,Solteiro(a),Ensino superior,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,-30.0197621,-51.206848,FLORESTA/P DAREIA,PORTO ALEGRE,1,
2018,2018,Vítima,37.0,Feminino,,Casado(a),Ensino fundamental,Branca,Branca,CRIMES,AMEACA,Consumado,Não solicitada,,,JUCA BATISTA IPANEMA,PORTO ALEGRE,1,
2018,2018,Vítima,42.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Não solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,36.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,41.0,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,61.0,Feminino,,Viúvo(a),Não alfabetizado,Parda,Mulato,CRIMES,INJURIA REAL,Consumado,Não solicitada,-30.1544228,-51.1421436,3A UV VL N REST,PORTO ALEGRE,1,
2018,2018,Vítima,29.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,49.0,Feminino,,Solteiro(a),Ensino superior,Branca,Branca,CRIMES,AMEACA,Consumado,Não solicitada,-30.0184262,-51.1364684,JD ITU-SABARA,PORTO ALEGRE,1,
2018,2018,Vítima,30.0,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.10086149999999,-51.2269204,TRISTEZA-CAVALHADA,PORTO ALEGRE,1,
2018,2018,Vítima,63.0,Feminino,,Casado(a),Ensino médio,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,-30.0271931,-51.2285341,CENTRO-P BELAS,PORTO ALEGRE,1,
2018,2018,Vítima,30.0,Feminino,,Solteiro(a),Ensino médio,Preta,Mulato,CRIMES,LESAO CORPORAL,Consumado,Não solicitada,-30.1236126,-51.1059007,,PORTO ALEGRE,1,
2018,2018,Vítima,20.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,-30.07367349999999,-51.1693587,S JOSE,PORTO ALEGRE,1,
2018,2018,Vítima,35.0,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Não solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,40.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Não solicitada,-30.0890244,-51.1263856,,PORTO ALEGRE,1,
2018,2018,Vítima,54.0,Feminino,,Casado(a),Ensino fundamental,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,67.0,Feminino,,Casado(a),Ensino médio,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,-30.0701942,-51.1775676,,PORTO ALEGRE,1,
2018,2018,Vítima,44.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,-30.1358657,-51.2322254,IPANEMA-GUARUJA,PORTO ALEGRE,1,
2018,2018,Vítima,23.0,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,,,P SECO-NOVA DIQUE,PORTO ALEGRE,1,
2018,2018,Vítima,70.0,Feminino,,Separado(a),Ensino médio,Branca,Branca,CRIMES,AMEACA,Consumado,Não solicitada,-30.0634703,-51.2064005,AZENHA-GLORIA-BVELHO,PORTO ALEGRE,1,
2018,2018,Vítima,45.0,Feminino,,Divorciado(a),Ensino superior,Branca,Branca,CRIMES,INJURIA,Consumado,Não solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,47.0,Feminino,,Viúvo(a),Ensino fundamental,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,27.0,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,52.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,40.0,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.06013549999999,-51.1595397,VL INTERCAP,PORTO ALEGRE,1,
2018,2018,Vítima,21.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,-30.1680073,-51.1540717,A MORROS-B NOVO,PORTO ALEGRE,2,
2018,2018,Vítima,51.0,Feminino,,Amigado(a),Não alfabetizado,Preta,Mulato,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.0286557,-51.2251409,CENTRO,PORTO ALEGRE,1,
2018,2018,Vítima,18.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,AMEACA,Consumado,Não solicitada,-30.1680073,-51.1540717,A MORROS-B NOVO,PORTO ALEGRE,2,
2018,2018,Vítima,24.0,Feminino,,Solteiro(a),Ensino superior,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.0757017,-51.2009074,GLORIA-AP BORGES,PORTO ALEGRE,1,
2018,2018,Vítima,36.0,Feminino,,Solteiro(a),Ensino superior,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.0314946,-51.2242889,CENTRO,PORTO ALEGRE,1,
2018,2018,Vítima,18.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Preta,CRIMES,AMEACA,Consumado,Solicitada,-30.0653172,-51.1513729,AGRONOMIA-N SRA GRAC,PORTO ALEGRE,1,
2018,2018,Vítima,27.0,Feminino,,Solteiro(a),Ensino médio,Preta,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.1588529,-51.1465161,RESTINGA-L PINHEIRO,PORTO ALEGRE,1,
2018,2018,Vítima,37.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,AMEACA,Consumado,Não solicitada,-30.0773385,-51.163147,S JOSE,PORTO ALEGRE,1,
2018,2018,Vítima,38.0,Feminino,,Solteiro(a),Ensino superior,Branca,Branca,CRIMES,APROPRIACAO INDEBITA,Consumado,Não solicitada,-30.02573529999999,-51.2122886,FLORESTA/P DAREIA,PORTO ALEGRE,1,
2018,2018,Vítima,31.0,Feminino,,Solteiro(a),Ensino fundamental,Preta,Mulato,CRIMES,APROPRIACAO INDEBITA,Consumado,Não solicitada,-30.0355076,-51.1116347,R BERTA(M. QUINTANA),PORTO ALEGRE,1,
2018,2018,Vítima,47.0,Feminino,,Divorciado(a),Ensino médio,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,-30.05218709999999,-51.1863737,PETROPOLIS-PARTENON,PORTO ALEGRE,1,
2018,2018,Vítima,20.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Não solicitada,-30.0170356,-51.1277473,P PEDRAS,PORTO ALEGRE,1,
2018,2018,Vítima,46.0,Feminino,,Divorciado(a),Ensino médio,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Não solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,20.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,32.0,Feminino,,Viúvo(a),Ensino médio,Branca,Branca,CRIMES,ESTELIONATO,Consumado,Não solicitada,-30.0292097,-51.2298421,CENTRO,PORTO ALEGRE,1,
2018,2018,Vítima,28.0,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.0567186,-51.1871097,P BELAS/AZENHA,PORTO ALEGRE,1,
2018,2018,Vítima,61.0,Feminino,,Viúvo(a),Semialfabetizado,Branca,Branca,CRIMES,EXERCICIO ARBITRARIO P/RAZOES,Consumado,Solicitada,-30.0780937,-51.1737145,C A BORGES,PORTO ALEGRE,1,
2018,2018,Vítima,21.0,Feminino,,Solteiro(a),Ensino fundamental,Mulato,Mulato,CRIMES,LESAO CORPORAL,Consumado,Não solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,66.0,Feminino,,Divorciado(a),Ensino fundamental,Branca,Mulato,CRIMES,LESAO CORPORAL,Consumado,Não solicitada,-30.1176393,-51.1023292,CENTRO,PORTO ALEGRE,1,
2018,2018,Vítima,21.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.0379259,-51.1444868,ITU-SABARA,PORTO ALEGRE,1,
2018,2018,Vítima,20.0,Feminino,,Amigado(a),Ensino médio,Branca,Branca,CRIMES,ESTELIONATO,Consumado,Não solicitada,-30.10036059999999,-51.2485837,CRISTAL-CAVALHADA,PORTO ALEGRE,1,
2018,2018,Vítima,21.0,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,36.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,-30.0156163,-51.1293644,P PEDRAS,PORTO ALEGRE,1,
2018,2018,Vítima,44.0,Feminino,,Solteiro(a),Ensino médio,Preta,Mulato,CRIMES,AMEACA,Consumado,Solicitada,-30.0847054,-51.1912083,AZENHA-GLORIA-BVELHO,PORTO ALEGRE,1,
2018,2018,Vítima,25.0,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,CRIMES,INJURIA DISCRIMINATORIA,Consumado,Solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,47.0,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Não solicitada,-30.0029092,-51.1203617,PORTO SECO - SARANDI,PORTO ALEGRE,1,
2018,2018,Vítima,23.0,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,CRIMES,AMEACA,Consumado,Não solicitada,-30.0207656,-51.1028876,"NC 35, BLC A2R BERTA",PORTO ALEGRE,1,
2018,2018,Vítima,46.0,Feminino,,Separado(a),Ensino fundamental,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,42.0,Feminino,,Divorciado(a),Ensino médio,Branca,Branca,CRIMES,AMEACA,Consumado,Não solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,44.0,Feminino,,Separado(a),Ensino médio,Branca,Branca,CRIMES,INJURIA,Consumado,Não solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,37.0,Feminino,,Casado(a),Ensino médio,Branca,Branca,CRIMES,AMEACA,Consumado,Não solicitada,-30.03095369999999,-51.2314082,CENTRO,PORTO ALEGRE,1,
2018,2018,Vítima,20.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.0282914,-51.22345079999999,CENTRO,PORTO ALEGRE,1,
2018,2018,Vítima,52.0,Feminino,,Divorciado(a),Ensino médio,Branca,Branca,CRIMES,AMEACA,Consumado,Não solicitada,-30.038013,-51.13976299999999,ITU SABARA,PORTO ALEGRE,1,
2018,2018,Vítima,50.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,INJURIA,Consumado,Não solicitada,-30.0276538,-51.2264957,CENTRO,PORTO ALEGRE,1,
2018,2018,Vítima,26.0,Feminino,,Solteiro(a),Semialfabetizado,Preta,Preta,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.0368172,-51.2081379,R BRANCO-P ALVES,PORTO ALEGRE,1,
2018,2018,Vítima,27.0,Feminino,,Amigado(a),Ensino médio,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,-30.0249216,-51.2172324,CENTRO,PORTO ALEGRE,1,
2018,2018,Vítima,50.0,Feminino,,Separado(a),Ensino superior,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.0310741,-51.2261895,CENTRO,PORTO ALEGRE,2,
2018,2018,Vítima,22.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.0854503,-51.1926322,VL GRACILIANO RAMOS,PORTO ALEGRE,1,
2018,2018,Vítima,85.0,Feminino,,Viúvo(a),Ensino fundamental,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.0310741,-51.2261895,CENTRO,PORTO ALEGRE,2,
2018,2018,Vítima,36.0,Feminino,,Viúvo(a),Ensino médio,Preta,Preta,CRIMES,CONSTRANGIMENTO ILEGAL,Consumado,Solicitada,-30.0747309,-51.18491830000001,C A BORGES,PORTO ALEGRE,1,
2018,2018,Vítima,31.0,Feminino,,Amigado(a),Ensino fundamental,Preta,Mulato,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.035848,-51.120211,VL LEOPOLDINA-R BERT,PORTO ALEGRE,1,
2018,2018,Vítima,26.0,Feminino,,Solteiro(a),Ensino fundamental,Indígena,Parda,CRIMES,LESAO CORPORAL,Consumado,Solicitada,,,,PORTO ALEGRE,1,
2018,2018,Vítima,32.0,Feminino,,Solteiro(a),Ensino fundamental,Branca,Branca,CRIMES,AMEACA,Consumado,Solicitada,-30.1183245,-51.1002655,CENTRO,PORTO ALEGRE,1,
2018,2018,Vítima,22.0,Feminino,,Solteiro(a),Ensino médio,Branca,Branca,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.0741013,-51.18683189999999,AP BORGES,PORTO ALEGRE,1,
2018,2018,Vítima,29.0,Feminino,,Solteiro(a),Ensino fundamental,Preta,Preta,CRIMES,LESAO CORPORAL,Consumado,Solicitada,-30.074316,-51.1622709,S JOSE,PORTO ALEGRE,1,
