Ig Inq,Tipo Procedimento,Situação Instauracao ,Tipo Elucidação,Data Instauração,Data Remessa,Desc Fato,Tipo Fato,Tipo Particip,Idade Participante,Sexo,Genero,Estado Civil,Instrucao,Cor Cadastro,Cor Autodeclarada,Med Protetiva,Qtde Vit Domest Sexoougenero
11087161,Inquérito,Instaurado e Remetido,Elucidado,21/8/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),36,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11087161,Inquérito,Instaurado e Remetido,Elucidado,21/8/2023,20/10/2023,PERSEGUICAO,Consumado,Suspeito(a),36,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11091205,Inquérito,Instaurado e Remetido,Elucidado,23/8/2023,20/10/2023,VIOLENCIA PSICOL CONTRA MULHER,Consumado,Suspeito(a),71,Masculino,Masculino,Casado(a),Ensino médio,Branca,Branca,Não se aplica,1
11091949,Inquérito,Instaurado e Remetido,Elucidado,24/8/2023,20/10/2023,LESAO CORPORAL,Consumado,Suspeito(a),36,Masculino,,Solteiro(a),Não informado,Parda,,Não se aplica,2
11092927,Inquérito,Instaurado e Remetido,Elucidado,24/8/2023,20/10/2023,PERSEGUICAO,Consumado,Suspeito(a),53,Masculino,Masculino,Divorciado(a),Ensino médio,Preta,Preta,Não se aplica,1
11097707,Inquérito,Instaurado e Remetido,Elucidado,29/8/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),43,Masculino,Masculino,Solteiro(a),Outros,Branca,Branca,Não se aplica,3
11097707,Inquérito,Instaurado e Remetido,Elucidado,29/8/2023,20/10/2023,VIAS DE FATO,Consumado,Suspeito(a),43,Masculino,Masculino,Solteiro(a),Não informado,Branca,Branca,Não se aplica,1
11101001,Inquérito,Instaurado e Remetido,Elucidado,1/9/2023,20/10/2023,LESAO CORPORAL,Consumado,Suspeito(a),38,Masculino,Masculino,Casado(a),Ensino médio,Branca,Branca,Não se aplica,1
11101507,Inquérito,Instaurado e Remetido,Elucidado,1/9/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),26,Masculino,Masculino,Solteiro(a),Ensino fundamental,Preta,Preta,Não se aplica,1
11101507,Inquérito,Instaurado e Remetido,Elucidado,1/9/2023,20/10/2023,VIOLENCIA PSICOL CONTRA MULHER,Consumado,Suspeito(a),26,Masculino,Masculino,Solteiro(a),Ensino fundamental,Preta,Preta,Não se aplica,1
11106547,Inquérito,Instaurado e Remetido,Elucidado,6/9/2023,20/10/2023,AMEACA,Consumado,Acusado(a),43,Masculino,,Solteiro(a),Não informado,Branca,Branca,Não se aplica,1
11111995,Inquérito,Instaurado e Remetido,Elucidado,12/9/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),45,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11114488,Inquérito,Instaurado e Remetido,Elucidado,14/9/2023,20/10/2023,ESTUPRO,Consumado,Suspeito(a),31,Masculino,Masculino,Solteiro(a),Ensino médio,Branca,Branca,Não se aplica,1
11115193,Inquérito,Instaurado e Remetido,Elucidado,15/9/2023,20/10/2023,VIOLENCIA PSICOL CONTRA MULHER,Consumado,Suspeito(a),34,Masculino,Masculino,Não informado,Não informado,,,Não se aplica,1
11117190,Inquérito,Instaurado e Remetido,Elucidado,18/9/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),45,Masculino,Masculino,Solteiro(a),Não informado,Branca,Branca,Não se aplica,1
11117190,Inquérito,Instaurado e Remetido,Elucidado,18/9/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),72,Masculino,Masculino,Casado(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11119428,Inquérito,Instaurado e Remetido,Elucidado,19/9/2023,20/10/2023,LESAO CORPORAL,Consumado,Indiciado(a),21,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,1
11119505,Inquérito,Instaurado e Remetido,Elucidado,19/9/2023,20/10/2023,LESAO CORPORAL,Consumado,Suspeito(a),24,Masculino,Masculino,Amigado(a),Ensino fundamental,Indígena,Indígena,Não se aplica,1
11120661,Inquérito,Instaurado e Remetido,Elucidado,21/9/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),20,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,,Não se aplica,1
11121798,Inquérito,Instaurado e Remetido,Elucidado,22/9/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),30,Masculino,Masculino,Solteiro(a),Ensino médio,Parda,Branca,Não se aplica,1
11124505,Inquérito,Instaurado e Remetido,Elucidado,25/9/2023,20/10/2023,LESAO CORPORAL,Consumado,Indiciado(a),41,Masculino,Masculino,Solteiro(a),Não informado,Branca,Branca,Não se aplica,1
11124980,Inquérito,Instaurado e Remetido,Elucidado,26/9/2023,20/10/2023,LESAO CORPORAL,Consumado,Indiciado(a),20,Masculino,Masculino,Solteiro(a),Ensino fundamental,Mulato,,Não se aplica,1
11125016,Inquérito,Instaurado e Remetido,Elucidado,26/9/2023,20/10/2023,LESAO CORPORAL,Consumado,Indiciado(a),22,Masculino,Masculino,Amigado(a),Ensino médio,Branca,Branca,Não se aplica,1
11126880,Inquérito,Instaurado e Remetido,Elucidado,27/9/2023,20/10/2023,AMEACA,Consumado,Suspeito(a),44,Masculino,Masculino,Solteiro(a),Outros,Mulato,,Não se aplica,1
11127444,Inquérito,Instaurado e Remetido,Elucidado,27/9/2023,20/10/2023,DESCUMPRIMEN MEDIDA PROTET URG,Consumado,Suspeito(a),34,Masculino,Masculino,Solteiro(a),Ensino fundamental,Branca,Branca,Não se aplica,2
